Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost,buy_from,img_url
vu,4.3,30,50,Ultra HD 4K,3,2,40800,https://www.flipkart.com/vu-126-cm-50-inch-ultra-hd-4k-led-smart-android-tv/p/itma169628942fd1?pid=TVSFSNJVRZFHCHDQ&lid=LSTTVSFSNJVRZFHCHDQFQAMJQ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_6_134&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=198de29e-0837-416f-9e13-b195d8e80b56.TVSFSNJVRZFHCHDQ.SEARCH&ppt=None&ppn=None&ssid=q8z0yozzts0000001622280524775&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kbpeoi80/television/s/c/u/vu-43ut-original-imafty43gxengcye.jpeg?q=70
motorola,4.3,30,50,Ultra HD 4K,3,2,36999,https://www.flipkart.com/motorola-zx-127-cm-50-inch-ultra-hd-4k-led-smart-android-tv-wireless-gamepad/p/itmffvfvevaeuyhy?pid=TVSFFVFV7RF3JU2W&lid=LSTTVSFFVFV7RF3JU2WKJHTA6&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_6_135&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=198de29e-0837-416f-9e13-b195d8e80b56.TVSFFVFV7RF3JU2W.SEARCH&ppt=None&ppn=None&ssid=q8z0yozzts0000001622280524775&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/k3hmj680/television/e/b/r/motorola-65sauhdm-original-imafm59fztjjshhm.jpeg?q=70
samsung,4.5,20,65,Ultra HD 4K,3,2,87999,https://www.flipkart.com/samsung-163-cm-65-inch-ultra-hd-4k-led-smart-tv-voice-search/p/itm3d7d869b78014?pid=TVSFQPHJWZKP6JKZ&lid=LSTTVSFQPHJWZKP6JKZMF7ORD&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_6_136&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=198de29e-0837-416f-9e13-b195d8e80b56.TVSFQPHJWZKP6JKZ.SEARCH&ppt=None&ppn=None&ssid=q8z0yozzts0000001622280524775&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kbl4cy80/television/j/k/z/samsung-ua65tue60akxxl-original-imafswfrzvtahwna.jpeg?q=70
tcl,4.3,10,32,HD,2,2,16659,https://www.flipkart.com/tcl-s65a-series-79-97-cm-32-inch-hd-ready-led-smart-android-tv/p/itm8dfcd10fa509e?pid=TVSFTZCUX5HB7255&lid=LSTTVSFTZCUX5HB72559O4I1U&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_6_137&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=198de29e-0837-416f-9e13-b195d8e80b56.TVSFTZCUX5HB7255.SEARCH&ppt=None&ppn=None&ssid=q8z0yozzts0000001622280524775&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kehfi4w0/television/2/5/5/tcl-led-32s65a-32s65a-original-imafv5ecaxbvjfhz.jpeg?q=70
lg,4.4,20,43,Ultra HD 4K,3,2,39999,https://www.flipkart.com/lg-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itm114100c6305ff?pid=TVSFV9YSZR6JHFJP&lid=LSTTVSFV9YSZR6JHFJPD2ZZE1&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_6_138&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=198de29e-0837-416f-9e13-b195d8e80b56.TVSFV9YSZR6JHFJP.SEARCH&ppt=None&ppn=None&ssid=q8z0yozzts0000001622280524775&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kex5ci80/television/5/z/z/lg-55un7300ptc-original-imafvg6rzyzkm7yb.jpeg?q=70
vu,4.5,30,65,Ultra HD 4K,3,2,59999,https://www.flipkart.com/vu-premium-164-cm-65-inch-ultra-hd-4k-led-smart-android-tv/p/itm44d6b5f4037ad?pid=TVSFRQ63MFHRWHJS&lid=LSTTVSFRQ63MFHRWHJSO7DXHV&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_6_141&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=198de29e-0837-416f-9e13-b195d8e80b56.TVSFRQ63MFHRWHJS.SEARCH&ppt=None&ppn=None&ssid=q8z0yozzts0000001622280524775&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/ka73y4w0/television/h/j/s/vu-65pm-original-imafrtazez3uzqdh.jpeg?q=70
lg,4.5,20,65,Ultra HD 4K,3,2,89999,https://www.flipkart.com/lg-164-cm-65-inch-ultra-hd-4k-led-smart-tv/p/itmf6hfju2b9kkee?pid=TVSF6HFJAYXQDZNV&lid=LSTTVSF6HFJAYXQDZNVZ3QIBU&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_6_142&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=198de29e-0837-416f-9e13-b195d8e80b56.TVSF6HFJAYXQDZNV.SEARCH&ppt=None&ppn=None&ssid=q8z0yozzts0000001622280524775&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/joonafk0/television/z/n/v/lg-65uk6360pte-original-imafb3ahqydwgpsa.jpeg?q=70
lg,4.5,20,49,Ultra HD 4K,3,2,43078,https://www.flipkart.com/lg-123-cm-49-inch-ultra-hd-4k-led-smart-tv/p/itmf6b4gjmzjmzmy?pid=TVSF6B4GTAENNKRH&lid=LSTTVSF6B4GTAENNKRHGPOLQT&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_6_144&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=198de29e-0837-416f-9e13-b195d8e80b56.TVSF6B4GTAENNKRH.SEARCH&ppt=None&ppn=None&ssid=q8z0yozzts0000001622280524775&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/joonafk0/television/r/a/x/lg-43uk6360pte-original-imafb3ahypvgyjgw.jpeg?q=70
samsung,4.5,40,65,Ultra HD 4K,4,2,124999,https://www.flipkart.com/samsung-frame-163-cm-65-inch-qled-ultra-hd-4k-smart-tv/p/itmbce01823968b5?pid=TVSFQQJ8E2XJQEDA&lid=LSTTVSFQQJ8E2XJQEDA1RFDSZ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_145&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFQQJ8E2XJQEDA.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kbjox3k0/television/e/d/a/samsung-qa65ls03takxxl-original-imafsvh9sj8cxz7v.jpeg?q=70
thomson,4.4,24,55,Ultra HD 4K,3,2,35999,https://www.flipkart.com/thomson-9r-series-139-cm-55-inch-ultra-hd-4k-led-smart-android-tv/p/itm9c991158e49b0?pid=TVSFUYG8M28RF86H&lid=LSTTVSFUYG8M28RF86HHMSGBU&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_146&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFUYG8M28RF86H.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kiyw9e80-0/television/a/z/m/55path5050-thomson-original-imafynyvqqvh9fwk.jpeg?q=70
