Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost,buy_from,img_url
Mi,4.4,20,55,Ultra HD 4K,3,2,39999,https://www.flipkart.com/mi-4x-138-8-cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmf90a9d92f0a52?pid=TVSG22C4CQV6SJPH&lid=LSTTVSG22C4CQV6SJPH8LNAHQ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSG22C4CQV6SJPH.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kmf7ki80/television/k/w/6/l55m5-5xin-mi-original-imagfbm7wr9hvafx.jpeg?q=70
SAMSUNG,4.3,20,32,HD,2,1,17499,https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tv-2021-voice-search/p/itm385f5d84060d4?pid=TVSGFJJGX3PAJYVF&lid=LSTTVSGFJJGX3PAJYVFHJEFUQ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSGFJJGX3PAJYVF.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kmp7ngw0/television/b/2/g/ua32te40faklxl-samsung-original-imagfjkbhfbxtukt.jpeg?q=70
SAMSUNG,4.3,20,32,HD,2,1,17499,https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tv-2021-voice-search/p/itm658a141f24b21?pid=TVSFYN6HKXKADS3F&lid=LSTTVSFYN6HKXKADS3FFHONWS&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFYN6HKXKADS3F.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kk76wsw0/television/s/u/h/ua32te40fakbxl-samsung-original-imafzhzw3wzyzcgg.jpeg?q=70
LG,4.4,20,43,Full HD,2,1,30999,https://www.flipkart.com/lg-108-cm-43-inch-full-hd-led-smart-tv-2020/p/itmae361ec0f950d?pid=TVSFUJ5RVDUQZRMA&lid=LSTTVSFUJ5RVDUQZRMASECZD2&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFUJ5RVDUQZRMA.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/ked56kw0/television/r/m/a/lg-43lm5650pta-43lm5650pta-original-imafvfq5jpcjzh2m.jpeg?q=70
Vu,4.3,24,43,Full HD,2,2,23999,https://www.flipkart.com/vu-premium-108-cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQ5LRPZU&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFZGK7BT8RCGUQ.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/k7xnukw0/television/g/u/q/vu-43us-43us-original-imafq2fhnucmhcpg.jpeg?q=70
OnePlus,4.2,20,40,Full HD,2,2,21999,https://www.flipkart.com/oneplus-y-series-100-cm-40-inch-full-hd-led-smart-android-tv/p/itmdcbd9784403b2?pid=TVSG25MMGB8NKFD8&lid=LSTTVSG25MMGB8NKFD8BZ88HR&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSG25MMGB8NKFD8.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/koudfgw0/television/m/y/p/40y1-40y1-oneplus-original-imag37mzbggxmhzk.jpeg?q=70
iFFALCON,4.3,16,32,HD,2,1,12999,https://www.flipkart.com/iffalcon-tcl-79-97-cm-32-inch-hd-ready-led-smart-android-tv-google-assistant-hdr-10-dolby-audio/p/itmf7hcfgwf2wzx8?pid=TVSF7HCFDCSAHZSE&lid=LSTTVSF7HCFDCSAHZSEIWJJBZ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSF7HCFDCSAHZSE.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/k7xnukw0/television/9/z/p/iffalcon-1080p-wide-angle-12mp-waterproof-under-water-portable-original-imafq2fncukhwrc4.jpeg?q=70
OnePlus,4.3,20,32,HD,2,2,15999,https://www.flipkart.com/oneplus-y-series-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itme650a6bb8cee3?pid=TVSFVWD2ENXYGEJY&lid=LSTTVSFVWD2ENXYGEJYBNWSST&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFVWD2ENXYGEJY.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kfzq8i80/television/e/j/y/oneplus-32h0a00-original-imafwb6wmqxh2ung.jpeg?q=70
Thomson,4.2,20,24,HD,2,2,8999,https://www.flipkart.com/thomson-r9-60-cm-24-inch-hd-ready-led-tv/p/itmf66gtcfpfu4jy?pid=TVSF66GTGDHUNH8T&lid=LSTTVSF66GTGDHUNH8TEHGOJV&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSF66GTGDHUNH8T.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kikluvk0/television/h/8/t/thomson-24tm2490-original-imafybphgnhfwuvp.jpeg?q=70
Mi,4.4,20,32,HD,3,2,14499,https://www.flipkart.com/mi-4a-pro-80-cm-32-inch-hd-ready-led-smart-android-tv-google/p/itm505418189698c?pid=TVSFDWH5K9N2FDTK&lid=LSTTVSFDWH5K9N2FDTK9M2YF1&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFDWH5K9N2FDTK.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kc54ivk0/television/r/q/g/mi-l43m4-4ain-original-imaftc5fy6bfmhyb.jpeg?q=70
